#
# Transition date estimate for lacclair
#
# Site: lacclair
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2024
# Final Processing Date: 2024-07-08
# Final Processing Time: 16:06:38
# Spline RMSE gcc_mean: 0.00329
# Spline RMSE gcc_50: 0.0036
# Spline RMSE gcc_75: 0.00365
# Spline RMSE gcc_90: 0.00387
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lacclair,DB,1000,falling,gcc_90,2019-10-03,2019-09-23,2019-09-12,2019-10-05,2019-09-25,2019-09-15,2019-09-30,2019-09-20,2019-09-11,0.32451,0.34064,0.36907,0.31489,0.42075
lacclair,DB,1000,falling,gcc_90,2018-10-04,2018-10-01,2018-09-25,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-29,2018-09-23,0.3293,0.34534,0.37275,0.32249,0.42016
lacclair,DB,1000,falling,gcc_90,2017-10-05,2017-09-30,2017-09-11,2017-10-07,2017-10-02,2017-09-14,2017-10-03,2017-09-25,2017-09-09,0.32647,0.34027,0.36795,0.31684,0.41534
lacclair,DB,1000,falling,gcc_90,2016-10-01,2016-09-28,2016-09-20,2016-10-02,2016-09-29,2016-09-22,2016-09-29,2016-09-26,2016-09-17,0.33068,0.34373,0.36796,0.32229,0.41335
lacclair,DB,1000,falling,gcc_90,2015-10-09,2015-10-04,2015-09-25,2015-10-10,2015-10-06,2015-09-28,2015-10-07,2015-10-02,2015-09-23,0.32234,0.34016,0.36704,0.31508,0.41561
lacclair,DB,1000,falling,gcc_90,2014-09-29,2014-09-25,2014-09-19,2014-09-30,2014-09-26,2014-09-21,2014-09-27,2014-09-23,2014-09-17,0.323,0.33886,0.36762,0.31522,0.418
lacclair,DB,1000,falling,gcc_75,2023-10-01,2023-09-29,2023-09-23,2023-10-02,2023-09-30,2023-09-24,2023-09-30,2023-09-27,2023-09-22,0.32144,0.33349,0.36361,0.31318,0.41398
lacclair,DB,1000,falling,gcc_75,2022-09-30,2022-09-27,2022-09-18,2022-10-01,2022-09-28,2022-09-21,2022-09-28,2022-09-25,2022-09-15,0.3275,0.33952,0.36904,0.31886,0.41819
lacclair,DB,1000,falling,gcc_75,2021-09-29,2021-09-24,2021-09-15,2021-09-30,2021-09-25,2021-09-17,2021-09-27,2021-09-21,2021-09-13,0.3314,0.34497,0.36893,0.32431,0.41302
lacclair,DB,1000,falling,gcc_75,2020-09-23,2020-09-21,2020-09-15,2020-09-24,2020-09-22,2020-09-17,2020-09-22,2020-09-19,2020-09-14,0.32476,0.33703,0.36507,0.31579,0.40832
lacclair,DB,1000,falling,gcc_75,2019-10-03,2019-09-24,2019-09-12,2019-10-05,2019-09-26,2019-09-15,2019-09-30,2019-09-21,2019-09-11,0.32274,0.33706,0.36575,0.31296,0.41426
lacclair,DB,1000,falling,gcc_75,2018-10-04,2018-10-01,2018-09-24,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-29,2018-09-23,0.32469,0.33982,0.36869,0.31832,0.41533
lacclair,DB,1000,falling,gcc_75,2017-09-21,2017-09-15,2017-09-04,2017-09-28,2017-09-17,2017-09-08,2017-09-18,2017-09-12,2017-08-29,0.34585,0.35653,0.37516,0.33871,0.41148
lacclair,DB,1000,falling,gcc_75,2016-10-03,2016-09-30,2016-09-22,2016-10-04,2016-10-01,2016-09-25,2016-10-01,2016-09-28,2016-09-20,0.31943,0.3322,0.36161,0.31228,0.40831
lacclair,DB,1000,falling,gcc_75,2015-10-09,2015-10-05,2015-09-24,2015-10-10,2015-10-06,2015-09-27,2015-10-07,2015-10-03,2015-09-22,0.32028,0.33507,0.36365,0.3135,0.41041
lacclair,DB,1000,falling,gcc_75,2014-09-29,2014-09-25,2014-09-19,2014-09-30,2014-09-26,2014-09-21,2014-09-27,2014-09-23,2014-09-18,0.3207,0.33634,0.36479,0.31392,0.41272
lacclair,DB,1000,falling,gcc_50,2023-10-01,2023-09-28,2023-09-22,2023-10-02,2023-09-29,2023-09-24,2023-09-29,2023-09-27,2023-09-21,0.31641,0.33522,0.36283,0.31226,0.40949
lacclair,DB,1000,falling,gcc_50,2022-09-30,2022-09-27,2022-09-19,2022-10-01,2022-09-28,2022-09-22,2022-09-28,2022-09-25,2022-09-17,0.32389,0.33598,0.36443,0.3152,0.41099
lacclair,DB,1000,falling,gcc_50,2021-09-29,2021-09-24,2021-09-15,2021-09-30,2021-09-26,2021-09-17,2021-09-27,2021-09-22,2021-09-13,0.32848,0.34316,0.36573,0.3223,0.40726
lacclair,DB,1000,falling,gcc_50,2020-09-23,2020-09-21,2020-09-15,2020-09-24,2020-09-22,2020-09-16,2020-09-21,2020-09-19,2020-09-14,0.3186,0.33051,0.35861,0.31272,0.40367
lacclair,DB,1000,falling,gcc_50,2019-09-26,2019-09-20,2019-09-09,2019-09-29,2019-09-21,2019-09-12,2019-09-23,2019-09-17,2019-09-07,0.33224,0.34314,0.36769,0.3243,0.40795
lacclair,DB,1000,falling,gcc_50,2018-10-04,2018-10-01,2018-09-25,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-30,2018-09-24,0.3195,0.33482,0.3617,0.31315,0.40525
lacclair,DB,1000,falling,gcc_50,2017-09-26,2017-09-16,2017-09-05,2017-09-29,2017-09-18,2017-09-09,2017-09-19,2017-09-13,2017-09-01,0.34171,0.35204,0.37133,0.33536,0.40558
lacclair,DB,1000,falling,gcc_50,2016-10-03,2016-09-30,2016-09-23,2016-10-04,2016-10-01,2016-09-25,2016-10-01,2016-09-28,2016-09-21,0.31584,0.32876,0.35595,0.30856,0.40296
lacclair,DB,1000,falling,gcc_50,2015-10-08,2015-10-04,2015-09-25,2015-10-09,2015-10-06,2015-09-28,2015-10-06,2015-10-02,2015-09-22,0.32094,0.33659,0.35899,0.31472,0.40288
lacclair,DB,1000,falling,gcc_50,2014-09-28,2014-09-25,2014-09-19,2014-09-29,2014-09-26,2014-09-21,2014-09-26,2014-09-23,2014-09-17,0.31935,0.33071,0.35947,0.31181,0.40612
lacclair,DB,1000,falling,gcc_mean,2023-10-01,2023-09-28,2023-09-22,2023-10-02,2023-09-29,2023-09-24,2023-09-29,2023-09-27,2023-09-21,0.31665,0.33533,0.36256,0.31253,0.40699
lacclair,DB,1000,falling,gcc_mean,2022-09-30,2022-09-27,2022-09-19,2022-10-01,2022-09-28,2022-09-22,2022-09-28,2022-09-25,2022-09-18,0.3241,0.3362,0.36453,0.3154,0.40972
lacclair,DB,1000,falling,gcc_mean,2021-09-29,2021-09-24,2021-09-15,2021-09-30,2021-09-26,2021-09-17,2021-09-27,2021-09-22,2021-09-13,0.32874,0.34335,0.36527,0.32259,0.40644
lacclair,DB,1000,falling,gcc_mean,2020-09-23,2020-09-21,2020-09-15,2020-09-24,2020-09-22,2020-09-17,2020-09-21,2020-09-19,2020-09-14,0.31846,0.33068,0.35913,0.31241,0.40323
lacclair,DB,1000,falling,gcc_mean,2019-09-26,2019-09-19,2019-09-09,2019-09-29,2019-09-21,2019-09-12,2019-09-23,2019-09-17,2019-09-07,0.33236,0.34506,0.36725,0.32466,0.40655
lacclair,DB,1000,falling,gcc_mean,2018-10-04,2018-10-01,2018-09-25,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-29,2018-09-24,0.31995,0.33508,0.36205,0.31368,0.40617
lacclair,DB,1000,falling,gcc_mean,2017-09-30,2017-09-18,2017-09-06,2017-10-01,2017-09-20,2017-09-10,2017-09-26,2017-09-15,2017-09-04,0.33538,0.34817,0.36945,0.33028,0.40601
lacclair,DB,1000,falling,gcc_mean,2016-10-02,2016-09-29,2016-09-21,2016-10-03,2016-09-30,2016-09-23,2016-09-30,2016-09-27,2016-09-19,0.32017,0.33286,0.3595,0.31538,0.40284
lacclair,DB,1000,falling,gcc_mean,2015-10-08,2015-10-04,2015-09-25,2015-10-09,2015-10-05,2015-09-27,2015-10-06,2015-10-02,2015-09-22,0.32063,0.33564,0.35892,0.31488,0.40248
lacclair,DB,1000,falling,gcc_mean,2014-09-28,2014-09-25,2014-09-19,2014-09-29,2014-09-26,2014-09-21,2014-09-26,2014-09-23,2014-09-18,0.3192,0.33075,0.35983,0.31192,0.40544
